Common name,Binomial,Comments
Water rail,Rallus aquaticus,
Brown-cheeked rail,Rallus indicus,
Corn crake,Crex crex,(A)[9]
Slaty-breasted rail,Lewinia striata,
Spotted crake,Porzana porzana,
Common moorhen,Gallinula chloropus,
Eurasian coot,Fulica atra,
Grey-headed swamphen,Porphyrio poliocephalus,
Ruddy-breasted crake,Zapornia fusca,
Black-tailed crake,Zapornia bicolor,
Brown crake,Zapornia akool,
Baillon's crake,Zapornia pusilla,
Little crake,Zapornia parva,(A)
Slaty-legged crake,Rallina eurizonoides,
Andaman crake,Rallina canningi,(E)
White-browed crake,Poliolimnas cinereus,(A)[10]
Watercock,Gallicrex cinerea,
White-breasted waterhen,Amaurornis phoenicurus,
